,gall_name,title,contents,voteup_num
51,baseball_new,프로야구 범죄자목록.txt,"역대 프로야구선수 범죄
범죄당시 소속구단 & 은퇴후에 저지른 범죄는 은퇴전소속구단으로 편입
-기아
이호성(일가족4명살인)
서정환(음주운전)
김종국(아버지 아들 병역비리로 구속)
성영재(의병전역위해 뇌물제공 구속)
김응룡(심판구타)
김성한(김지영 구타)
김진우(음주폭행)
병역비리 유동훈(구속)
이현곤(불구속) 이상2명
-현대(넥센전신)
위재영(병역법위반 현대구단직원 돈건네 구속)
박진만(아버지 병역면제위해 뇌물 불구속)
병역비리 박우호,박장희,김민우(이상 구속)
정성훈,신동민,마일영(이상 불구속)이상6명
1991년11월 병역기피혐의로 태평양선수6명 연행
정민태(병역법위반 뇌물제공 구속)
-SK
최정(대구시민 폭행)
박경완(혼인빙자 간음)
채병룡(공익근무중 이탈후 코치로 활동)
위대한(퍽치기)
병역비리(조진호 윤형국 윤현식(이상 구속))
이진영,이호준,안용휘(이상 불구속)
채종범(미검거)이상6명
-두산
강병규(도박,폭행)
이종민(음주운전 단속경찰매달고 170미터질주)
이용찬(음주운전,뺑소니)
김명제(음주운전)
강혁(뺑소니)
윤승균(강간)
박성남(강간)
김동주(간통)
박명환(약물)
병역비리 이재영(구속)
이재우,손시헌,노경은,채상병,김재호(이상 불구속)이상6명
임태훈(따먹튀, 송지선투신)
김재환(약물)
-LG
김성현(승부조작)
박현준(승부조작)
김재현(음주운전3회(측정거부,중앙선침범))
이병훈(음주운전)
김상훈(음주운전)
백인천(간통,장모폭행)
채종국(강간)
봉중근(부인폭행)
정상흠(학부모에게 뇌물받아 체포)
서용빈(병무청직원에 뇌물제공 구속)
박철홍(병역비리로 아버지가 뇌물구속)
신윤호(길거리폭행 구치소)
서승화(윤재국 선수생명절단, 2군에서 야구방망이로 후배폭행)
병역비리 김광수,김용우,이경민,김광회,심수창,양현석(이상 구속)
손기현,이동현(이상 불구속)
박용진(미검거)이상9명
오상민(사기,도박,혼인빙자,동거녀 자살(오상민이 동거녀명의로 도박빚을 지고, 거짓말까지..))
-롯데
박기혁(음주운전3회, 0.149%면허취소)
김수화(일반인 폭행)
정수근(음주운전, 술먹고 폭행)
노장진(음주의혹후 무단이탈, 와이프 음독자살)
롯데도박파문선수(1명)
병역비리 김장현,서정호(이상 구속)
변인재,김주찬,허준혁(이상 불구속)
조성환(섬으로 도망가서 미검거, 공소시효 한달 앞두고 시효정지, 자수)이상6명
-삼성
임창용(간통,여자폭행)
채태인(도박)
진갑용(약물)
장준환(강간)-
삼성도박파문선수(13명)
병역비리 정현욱,오상민,박정환,지승민,현재윤(이상 구속)
윤성환,김형근,이정호(이상 불구속)이상8명
-한화
박노민(낙태2번시킨후 여자버림)
한대화(부당이익을 취한 혐의로 고소,뇌물)
최진호(뺑소니도주후 살인)
도박파문선수(2명)
조성민(부인폭행,처남폭행)
병역비리 신민기(구속)
마정길,고상천,조규수,한상훈,전경일,조현수(이상 불구속)이상7명
-9시뉴스를 장식했던 사건
""LG00등 야구선수 50여명 조직적 병역기피""
""인터넷 도박 혐의자 삼성에만 13명""
""이호성 일가족4명살인""
""5년간 선수들에게 이간질 문자보낸 LG팬 잡혀""",3
52,baseball_new,★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두,★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두,0
53,baseball_new,★☆★☆★☆★☆★☆,ㅇㅇㅇㅁㄴㅇㄴㅁㅇ,0
54,baseball_new,야갤여신 황미영 애기시절.SWF,"목소리지젼ㅠㅠ
<>setTimeout(""resizeImage();"", 400);</>",1
55,baseball_new,솔직히 두산이 우승할듯,ㅇㅇ,0
56,baseball_new,★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두,★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!★최강두산!,0
57,baseball_new,막글 ★알바야 빨리 글쓰기막아라,ㄴ,0
58,baseball_new,★최강두산!,★최강두산!,0
59,baseball_new,막글내꺼,ㅇㅇㅁㄴㅇ,0
60,baseball_new,솔직히 내년엔 LG4강간다,ㅇ,0
61,baseball_new,야갤여신 황미영 솔로곡.SWF,"ㅠㅠㅠㅠㅠㅠㅠ미영아
<>setTimeout(""resizeImage();"", 400);</>",0
62,baseball_new,진짜 써지네??,ㅋ,0
63,baseball_new,막글은내꺼얌,ㅎ,0
64,baseball_new,다시 막히기전에 막글은 내꺼야,다시 막히기전에 막글은 내꺼야,1
65,baseball_new,막글은내꺼야 ㅇㅇ,ㅇㅇ,0
66,baseball_new,내가 마지막글,^^,0
67,baseball_new,?,ㅇ,0
68,baseball_new,다시 막히기전에 막글은 내꺼야,다시 막히기전에 막글은 내꺼야,0
69,baseball_new,야갤에 두개여 두개,ㅇㅇ,0
70,baseball_new,보는순간 미영이 노예가 되버리는짤.swf,미영아 왜불러^^?,0
71,baseball_new,ㄴ 첫글자와 끝글자가 니 와이프 이름,ㅇㅇ 뭐임마,0
72,baseball_new,알바새끼 김유식한테 뒤지겠넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,망함 ㅠ,0
73,baseball_new,섹스,수정이랑 섹스하고싶다,5
74,baseball_new,라지에타가 텨졌엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
75,baseball_new,유강남 미트질 적당히 해라 ㅋㅋ,ㅋㅋ,0
76,baseball_new,우호우호!,우호우호,0
77,baseball_new,여기에 좀있으면 글 못쓰겠지 ? ㅠㅠ,ㅠㅠ,0
78,baseball_new,야! 기분조타!,ㅁㄴㅇㄹ,1
79,baseball_new,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
80,baseball_new,유감남 미트질 적당히 해라 ㅋㅋ,무슨 다 끌어다놓네 ㅋ,8
81,baseball_new,집에서 먹을 안주좀 추천해봐라,"족발 치킨 곱창 이런건 자주먹어서 질리고
뭐 꼴리는거엄나? 소주안주로",2
82,baseball_new,스나 눈야구 하는거 보소 ㄷㄷㄷㄷ 크라스 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,3
83,baseball_new,김광삼 저새끼 오늘 영 불안한데?,계속 볼질이네,0
84,baseball_new,승부조작 잠재우려고 야구판이 의도적으로 박찬호 밀어주기하는듯,티가 너무 난다,1
85,baseball_new,아 씨발 개씹돈성 1회 지랄 또 시작이야키아룸ㄴ이;ㅏ뤼;ㅁ나우라ㅣㅁㄴ읆ㄴ,ㅂㅈㅍㄷㅍㄱㅂㅈㄷㅈㄷㅁㄱㅊㄱㅂㅈㅊㄷㅊㄱ,0
86,baseball_new,네이버중계 이젠 해설자 이름도 보여주넼ㅋㅋㅋㅋㅋ,오오미 발전했구마잉,2
87,baseball_new,윤션 털린다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
88,baseball_new,퍼시픽리그 타율 꼴찌 2년연속 김치맨이 하는것도 꿈이 아니다,"승삽이 작년 규정타석 미달인걸 '전부' 안타로 쳐줘도 널널하게 리그꼴찌
꼴데호 지금 몇위냐 ㅋㅋ",0
89,baseball_new,"ㄴ ""ㅋ"" 갯수만큼 무적lg 오늘 실점 점수",ㅁㄴㅇ,0
90,baseball_new,송승준이 살빼고 성형했냐?,10송씹새 모드네.,0
91,baseball_new,볼 맞구만 지랄이야 해설새끼야 ㅡㅡ,누가봐도 무릎아래구만 병신이,0
92,baseball_new,윤션 느낌이 좋다ㅋㅋㅋㅋ,난타당할듯ㅋㅋㅋㅋㅋㅋㅋ,2
93,baseball_new,어제 장스나 2타점 광고소환타가 최고였제,ㅇㅇ,0
94,baseball_new,1회부터 개씹솩판질당하네,"이런데 일부 하위팀들은 꼴판많다고 징징징
From dcinside app for Android",0
95,baseball_new,좆그누 치질ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,앜ㅋㅋㅋㅋㅋ,2
96,baseball_new,아 XTM이 재밋는거 많이 해주는데.. XTM이 집에 안나오네 ㅠ,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1
97,baseball_new,아미1친 갓준우오늘도안나오네 대신 죶근우 ㄳ,ㅎㅎ,0
98,baseball_new,ㅅㅂ 조턱 빠지면 촙대는데 ㅡㅡ,ㅡㅡ,1
99,baseball_new,뭐지 칰 왜 1회번트??,ㅁㄴㅇㅁㄷ,0
100,baseball_new,야 오늘은 야구 어디 봐야하냐,팩경기 볼까?,0
101,baseball_new,건축학개론 이제훈...흑역서.jpg,real,7
102,baseball_new,ㄴ야구중계글일시 오늘경기 무적LG승리,ㅁㄴㅇ,0
103,baseball_new,역시 김강민 ㅋㅋㅋㅋㅋ,"요시
From dcinside app for Android",0
104,baseball_new,돼지 씹새끼 지금 좆범호보다도 못하는거 아니냨ㅋㅋㅋㅋㅋㅋㅋㅋ,좆범호는 홈런이라도깠찤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
105,baseball_new,여상신은 번트도 잘댓ㅋㅋ못하는게 뭐냐~~~,ㅋㅌㅋ,0
